home,home_point
Netherlands,7.601093173972702
Senegal,5.88214446014382
England,2.944742275519107
Wales,0.0655200540727538
Argentina,6.683249646373117
Mexico,5.70337546112366
France,7.182755908757477
Australia,4.201228112846552
Spain,7.156368713432771
Germany,6.198636643932053
Belgium,6.01162411750463
Croatia,5.950054328037066
Brazil,7.846239806206933
Switzerland,4.32767044923056
Portugal,4.4302109346597405
Uruguay,2.4580015724404993
