Date,Home_Team,Home Team Goals,Away_Team,Away Team Goals,Home Team Initials,Away Team Initials
2006,Czech Republic,0,Italy,2,CZE,ITA
2006,Japan,1,Brazil,4,JPN,BRA
2006,Croatia,2,Australia,2,CRO,AUS
2006,Ukraine,1,Tunisia,0,UKR,TUN
2006,Saudi Arabia,0,Spain,1,KSA,ESP
2006,Togo,0,France,2,TOG,FRA
2006,Germany,2,Sweden,0,GER,SWE
2006,Argentina,2,Mexico,1,ARG,MEX
2006,England,1,Ecuador,0,ENG,ECU
2006,Portugal,1,Netherlands,0,POR,NED
2006,Italy,1,Australia,0,ITA,AUS
2006,Switzerland,0,Ukraine,0,SUI,UKR
2006,Brazil,3,Ghana,0,BRA,GHA
2006,Spain,1,France,3,ESP,FRA
2006,Germany,1,Argentina,1,GER,ARG
2006,Italy,3,Ukraine,0,ITA,UKR
2006,England,0,Portugal,0,ENG,POR
2006,Brazil,0,France,1,BRA,FRA
2006,Germany,0,Italy,2,GER,ITA
2006,Portugal,0,France,1,POR,FRA
2006,Germany,3,Portugal,1,GER,POR
2006,Italy,1,France,1,ITA,FRA
2010,South Africa,1,Mexico,1,RSA,MEX
2010,Uruguay,0,France,0,URU,FRA
2010,Argentina,1,Nigeria,0,ARG,NGA
2010,Algeria,0,Slovenia,1,ALG,SVN
2010,Serbia,0,Ghana,1,SRB,GHA
2010,Germany,4,Australia,0,GER,AUS
2010,Netherlands,2,Denmark,0,NED,DEN
2010,Japan,1,Cameroon,0,JPN,CMR
2010,Italy,1,Paraguay,1,ITA,PAR
2010,New Zealand,1,Slovakia,1,NZL,SVK
2010,Honduras,0,Chile,1,HON,CHI
2010,Spain,0,Switzerland,1,ESP,SUI
2010,South Africa,0,Uruguay,3,RSA,URU
2010,Greece,2,Nigeria,1,GRE,NGA
2010,France,0,Mexico,2,FRA,MEX
2010,Germany,0,Serbia,1,GER,SRB
2010,England,0,Algeria,0,ENG,ALG
2010,Netherlands,1,Japan,0,NED,JPN
2010,Ghana,1,Australia,1,GHA,AUS
2010,Cameroon,1,Denmark,2,CMR,DEN
2010,Slovakia,0,Paraguay,2,SVK,PAR
2010,Italy,1,New Zealand,1,ITA,NZL
2010,Chile,1,Switzerland,0,CHI,SUI
2010,Spain,2,Honduras,0,ESP,HON
2010,Mexico,0,Uruguay,1,MEX,URU
2010,France,1,South Africa,2,FRA,RSA
2010,Greece,0,Argentina,2,GRE,ARG
2010,Slovenia,0,England,1,SVN,ENG
2010,Ghana,0,Germany,1,GHA,GER
2010,Australia,2,Serbia,1,AUS,SRB
2010,Slovakia,3,Italy,2,SVK,ITA
2010,Paraguay,0,New Zealand,0,PAR,NZL
2010,Denmark,1,Japan,3,DEN,JPN
2010,Cameroon,1,Netherlands,2,CMR,NED
2010,Portugal,0,Brazil,0,POR,BRA
2010,Chile,1,Spain,2,CHI,ESP
2010,Switzerland,0,Honduras,0,SUI,HON
2010,Germany,4,England,1,GER,ENG
2010,Argentina,3,Mexico,1,ARG,MEX
2010,Netherlands,2,Slovakia,1,NED,SVK
2010,Brazil,3,Chile,0,BRA,CHI
2010,Paraguay,0,Japan,0,PAR,JPN
2010,Spain,1,Portugal,0,ESP,POR
2010,Netherlands,2,Brazil,1,NED,BRA
2010,Uruguay,1,Ghana,1,URU,GHA
2010,Argentina,0,Germany,4,ARG,GER
2010,Paraguay,0,Spain,1,PAR,ESP
2010,Uruguay,2,Netherlands,3,URU,NED
2010,Germany,0,Spain,1,GER,ESP
2010,Uruguay,2,Germany,3,URU,GER
2010,Netherlands,0,Spain,1,NED,ESP
2014,Brazil,3,Croatia,1,BRA,CRO
2014,Mexico,1,Cameroon,0,MEX,CMR
2014,Spain,1,Netherlands,5,ESP,NED
2014,Chile,3,Australia,1,CHI,AUS
2014,Colombia,3,Greece,0,COL,GRE
2014,Uruguay,1,Costa Rica,3,URU,CRC
2014,England,1,Italy,2,ENG,ITA
2014,Switzerland,2,Ecuador,1,SUI,ECU
2014,France,3,Honduras,0,FRA,HON
2014,Germany,4,Portugal,0,GER,POR
2014,Belgium,2,Algeria,1,BEL,ALG
2014,Brazil,0,Mexico,0,BRA,MEX
2014,Australia,2,Netherlands,3,AUS,NED
2014,Spain,0,Chile,2,ESP,CHI
2014,Cameroon,0,Croatia,4,CMR,CRO
2014,Uruguay,2,England,1,URU,ENG
2014,Japan,0,Greece,0,JPN,GRE
2014,Italy,0,Costa Rica,1,ITA,CRC
2014,Switzerland,2,France,5,SUI,FRA
2014,Honduras,1,Ecuador,2,HON,ECU
2014,Germany,2,Ghana,2,GER,GHA
2014,Belgium,1,Russia,0,BEL,RUS
2014,Australia,0,Spain,3,AUS,ESP
2014,Netherlands,2,Chile,0,NED,CHI
2014,Cameroon,1,Brazil,4,CMR,BRA
2014,Croatia,1,Mexico,3,CRO,MEX
2014,Italy,0,Uruguay,1,ITA,URU
2014,Costa Rica,0,England,0,CRC,ENG
2014,Japan,1,Colombia,4,JPN,COL
2014,Nigeria,2,Argentina,3,NGA,ARG
2014,Honduras,0,Switzerland,3,HON,SUI
2014,Ecuador,0,France,0,ECU,FRA
2014,Portugal,2,Ghana,1,POR,GHA
2014,Algeria,1,Russia,1,ALG,RUS
2014,Brazil,1,Chile,1,BRA,CHI
2014,Colombia,2,Uruguay,0,COL,URU
2014,France,2,Nigeria,0,FRA,NGA
2014,Germany,2,Algeria,1,GER,ALG
2014,Brazil,2,Colombia,1,BRA,COL
2014,France,0,Germany,1,FRA,GER
2014,Brazil,1,Germany,7,BRA,GER
2014,Brazil,0,Netherlands,3,BRA,NED
2014,Germany,1,Argentina,0,GER,ARG
2014,Netherlands,0,Argentina,0,NED,ARG
2014,Netherlands,0,Costa Rica,0,NED,CRC
2014,Argentina,1,Belgium,0,ARG,BEL
2014,Netherlands,2,Mexico,1,NED,MEX
2014,Costa Rica,1,Greece,1,CRC,GRE
2014,Argentina,1,Switzerland,0,ARG,SUI
2014,Brazil,1,Chile,1,BRA,CHI
2014,Colombia,2,Uruguay,0,COL,URU
2014,Netherlands,2,Mexico,1,NED,MEX
2014,Costa Rica,1,Greece,1,CRC,GRE
2014,France,2,Nigeria,0,FRA,NGA
2014,Germany,2,Algeria,1,GER,ALG
2014,Argentina,1,Switzerland,0,ARG,SUI
2014,France,0,Germany,1,FRA,GER
2014,Brazil,2,Colombia,1,BRA,COL
2014,Argentina,1,Belgium,0,ARG,BEL
2014,Netherlands,0,Costa Rica,0,NED,CRC
2014,Brazil,1,Germany,7,BRA,GER
2014,Netherlands,0,Argentina,0,NED,ARG
2014,Brazil,0,Netherlands,3,BRA,NED
2014,Germany,1,Argentina,0,GER,ARG
2018,Belgium,2,England,0,BEL,ENG
2018,Russia,5,Saudi Arabia,0,RUS,KSA
2018,Germany,2,Sweden,1,GER,SWE
2018,South Korea,2,Germany,0,KOR,GER
2018,Mexico,0,Sweden,3,MEX,SWE
2018,Belgium,3,Panama,0,BEL,PAN
2018,Tunisia,1,England,2,TUN,ENG
2018,Belgium,5,Tunisia,2,BEL,TUN
2018,England,6,Panama,1,ENG,PAN
2018,England,0,Belgium,1,ENG,BEL
2018,Panama,1,Tunisia,2,PAN,TUN
2018,Colombia,1,Japan,2,COL,JPN
2018,Poland,1,Senegal,2,POL,SEN
2018,Japan,2,Senegal,2,JPN,SEN
2018,Poland,0,Colombia,3,POL,COL
2018,South Korea,1,Mexico,2,KOR,MEX
2018,Japan,0,Poland,1,JPN,POL
2018,France,4,Argentina,3,FRA,ARG
2018,Uruguay,2,Portugal,1,URU,POR
2018,Spain,1,Russia,1,ESP,RUS
2018,Croatia,1,Denmark,1,CRO,DEN
2018,Brazil,2,Mexico,0,BRA,MEX
2018,Belgium,3,Japan,2,BEL,JPN
2018,Sweden,1,Switzerland,0,SWE,SUI
2018,Colombia,1,England,1,COL,ENG
2018,Uruguay,0,France,2,URU,FRA
2018,Sweden,0,England,2,SWE,ENG
2018,Russia,2,Croatia,2,RUS,CRO
2018,France,1,Belgium,0,FRA,BEL
2018,Croatia,2,England,1,CRO,ENG
2018,Senegal,0,Colombia,1,SEN,COL
2018,France,4,Croatia,2,FRA,CRO
2018,Sweden,1,South Korea,0,SWE,KOR
2018,Switzerland,2,Costa Rica,2,SUI,CRC
2018,Egypt,0,Uruguay,1,EGY,URU
2018,Russia,3,Egypt,1,RUS,EGY
2018,Uruguay,1,Saudi Arabia,0,URU,KSA
2018,Uruguay,3,Russia,0,URU,RUS
2018,Saudi Arabia,2,Egypt,1,KSA,EGY
2018,Morocco,0,Iran,1,MAR,IRN
2018,Portugal,3,Spain,3,POR,ESP
2018,Portugal,1,Morocco,0,POR,MAR
2018,Iran,0,Spain,1,IRN,ESP
2018,Iran,1,Portugal,1,IRN,POR
2018,Spain,2,Morocco,2,ESP,MAR
2018,France,2,Australia,1,FRA,AUS
2018,Peru,0,Denmark,1,PER,DEN
2018,Germany,0,Mexico,1,GER,MEX
2018,Denmark,1,Australia,1,DEN,AUS
2018,Denmark,0,France,0,DEN,FRA
2018,Australia,0,Peru,2,AUS,PER
2018,Argentina,1,Iceland,1,ARG,ISL
2018,Croatia,2,Nigeria,0,CRO,NGA
2018,Argentina,0,Croatia,3,ARG,CRO
2018,Nigeria,2,Iceland,0,NGA,ISL
2018,Nigeria,1,Argentina,2,NGA,ARG
2018,Iceland,1,Croatia,2,ISL,CRO
2018,Costa Rica,0,Serbia,1,CRC,SRB
2018,Brazil,1,Switzerland,1,BRA,SUI
2018,Brazil,2,Costa Rica,0,BRA,CRC
2018,Serbia,1,Switzerland,2,SRB,SUI
2018,Serbia,0,Brazil,2,SRB,BRA
2018,France,1,Peru,0,FRA,PER
2018,Brazil,1,Belgium,2,BRA,BEL
